Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level
ELEC,Ramada,1319 2nd St W,,Brooks,AB,T1R 1P7,,403-362-6440,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,50.585242,-111.898615,2021-11-02,82833,2023-02-24 20:16:14 UTC,P,,,2012-02-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Davis Chevrolet,149 E Lake Crescent NE,,Airdrie,AB,T4A 2H9,,403-948-6909,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,51.288119,-113.998284,2022-02-10,82834,2022-04-26 16:04:15 UTC,P,,,2015-01-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Don Wheaton Chevrolet,10727 - 82 Ave,,Edmonton,AB,T6E 2B1,,,E,,Public,"7am-6pm M-F, 8am-2pm Sat",,,,,,2,,,Non-Networked,,200-9,53.517704,-113.507252,2021-11-02,82836,2022-04-26 16:04:15 UTC,P,,,2013-01-15,,,,,J1772,CA,,"7:00-18:00 LUN-VEN, 8:00-14:00 SAT",,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Gasonic Instruments,8-823 41st Ave NE,,Calgary,AB,T2E 6Y3,,403-276-2201,E,,Public,8am-5pm M-F; remaining hours and all weekends available to the public,,,,,,1,,,Non-Networked,,200-9,51.092856,-114.043029,2022-04-13,82837,2022-04-26 16:04:15 UTC,P,,,2015-04-15,,,,,J1772,CA,,8:00-17:00 LUN-VEN; disponible au public le reste des heures et les fin de semaines,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,International Motor Cars,7220 Railway St SE,,Calgary,AB,T2H 3A8,,844-288-8918,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,200-9,50.990495,-114.042414,2020-10-07,82838,2022-04-07 20:00:12 UTC,P,,,2017-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Residence Inn,3710 Market St SE,,Calgary,AB,T3M 2P2,,587-349-8633,E,,Public,24 hours daily; for guest use only,,,,,,4,,,Non-Networked,,GPS,50.88028293795556,-113.9558734539673,2021-11-02,82839,2022-04-28 20:01:31 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,
ELEC,Platinum Mitsubishi,2720 Barlow Trail NE,,Calgary,AB,T1Y 1A1,,,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,51.07626273694107,-114.0002597533035,2021-12-13,82840,2023-02-24 20:09:50 UTC,P,,,2016-05-16,,,,,J1772,CA,,Heures dâ€™ouverture du concessionnaire,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Bear Street Parkade,128 Bear St,,Banff,AB,T1L 1A1,,403-762-1110,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,51.175795,-115.572164,2022-11-09,83035,2022-11-09 13:59:34 UTC,LG,,,2014-06-16,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Alberco,14 Rayborn Crescent,,St. Albert,AB,T8N 4B1,,780-267-5802,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.622373,-113.642141,2021-11-02,83515,2022-04-26 16:04:15 UTC,P,,,2013-02-03,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Competition Chevrolet,40 Boulder Blvd,,Stony Plain,AB,T7Z 1V7,,780-963-6121,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.542013,-113.990121,2021-11-02,83609,2022-04-26 16:04:15 UTC,P,,,2013-04-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Murray Chevrolet,2815 26th Ave S,,Lethbridge,AB,T1K 7K7,,403-328-1101,E,,Public,"7am-5:30pm M-F, 8am-4pm Sat",,,,,,2,,,Non-Networked,,200-9,49.667953,-112.800603,2021-11-02,83625,2023-02-24 19:18:58 UTC,P,,,2013-01-15,,,,,J1772,CA,,"7:00-17:30 LUN-VEN, 8:00-16:00 SAT",,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Sherwood Nissan,10 Broadway Blvd,,Sherwood Park,AB,T8H 2A2,,780-449-5775,E,,Public,"7:30am-9pm M-F, 9am-5pm Sat, 11am-5pm Sun",,,,,,2,,,Non-Networked,,200-8,53.5449,-113.319101,2021-11-02,83714,2022-04-26 16:04:15 UTC,P,,,2012-01-15,,,,,J1772,CA,,"7:30-21:00 LUN-VEN, 9:00-17:00 SAM, 11:00-17:00 DIM",,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Royal Oak Nissan,7690 110th Ave NW,,Calgary,AB,T3R 1R8,,403-241-1040 x0,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,200-9,51.153652,-114.19546,2021-11-02,83718,2022-04-26 16:04:15 UTC,P,,,2013-03-15,,,,,J1772,CA,,24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Edmonton Public Library - Jasper Place Branch,9010 156th St NW,East side of the building,Edmonton,AB,T5R 5X7,,780-496-1810,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.523582,-113.590729,2019-12-09,83804,2021-06-07 17:08:43 UTC,P,,,2015-07-15,,,,,J1772,CA,Coté du batiment,Accessible 24 heures par jour,,Public,,public,,,LIBRARY,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Edmonton Public Library - Mill Woods Branch,2610 Hewes Way NW,,Edmonton,AB,T6L 0A9,,780-496-1818,E,,Public - Card key at all times,"10am-9pm M-Th, 10am-6pm F-Sat, 1pm-5pm Sun; Front desk key",,,,,,3,,,Non-Networked,,200-9,53.4566,-113.427401,2021-12-13,83806,2022-04-26 16:04:15 UTC,P,,,2016-09-15,,,,,J1772,CA,,"10:00-21:00 LUN-JEU, 10:00-18:00 VEN-SAM, 13:00-17:00 DIM",,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,LIBRARY,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Industries,7740 40 Ave,,Red Deer,AB,T4P 2H9,,403-346-8991,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,52.306241,-113.791503,2022-04-13,83839,2022-09-01 20:05:57 UTC,P,,,2017-05-16,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,IKEA,1311 102nd St NW,,Edmonton,AB,T6N 1M3,,780-495-9686,E,,Public,9:30am-9pm daily,,,,,,4,,,Non-Networked,,200-9,53.443099,-113.489439,2022-11-09,83916,2022-11-09 13:59:34 UTC,P,,,2015-07-15,,,,,J1772,CA,,9:30-21:00 tous les jours,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,King's University,9125 50th St NW,,Edmonton,AB,T6B 2H3,,780-465-3500,E,,Public,24 hours daily; See front desk for permission,,,,,,1,,,Non-Networked,,GPS,53.52541350567031,-113.4176661534424,2022-11-09,83921,2022-11-09 13:59:34 UTC,P,,,2016-08-15,,,,,J1772,CA,,24 heures par jour; Voir la reception pour la permission,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,Gratuit,,,,,,,,,true,,,,
