Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name
ELEC,City Hall Annex - Town of Normal,100 E Phoenix Ave,"Right off Linden St, south side of police station",Normal,IL,61761,,309-454-2444,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,40.507796,-88.982897,2022-10-11,38855,2023-02-14 15:54:11 UTC,LG,,,2011-04-15,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,College Avenue Parking Deck,101 W Mulberry St,Located on lowest level of parking deck,Normal,IL,61761,,309-454-2444,E,,Public,24 hours daily,,,,,,3,,,Non-Networked,,GPS,40.511172,-88.984985,2022-10-11,38856,2023-02-14 15:54:11 UTC,LG,,,2011-04-15,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free; parking fee,,,,,,,,,,false,,,,,
ELEC,O'Hare Airport - Short Term Parking,10000 W O'Hare Ave,Located in row 2 on the first floor,Chicago,IL,60666,,800-832-6352,E,,Public - Credit card at all times,24 hours daily; pay lot,A D M V,,,,,6,,,Non-Networked,,GPS,41.97850582311076,-87.90328000006105,2022-10-11,40794,2023-02-14 15:54:11 UTC,P,,,2011-02-11,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,AIRPORT,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Town of Normal - Public Works Department,1301 Warriner,"Located in Public Works parking lot, westernmost parking space on north side of building.",Normal,IL,61761,,309-454-9590,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,40.496969,-89.004735,2022-10-11,42461,2023-02-14 15:54:11 UTC,LG,,,2012-01-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Beaufort Street Parking Deck,211 W Beaufort St,Adjacent to Marriott Hotel and Conference Center (lower level),Normal,IL,61761,,309-454-9590,E,,Public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,2,,,Non-Networked,,GPS,40.507954,-88.986429,2022-10-11,42462,2023-02-14 15:54:11 UTC,LG,,,2012-01-01,,,,,J1772 NEMA520,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Heartland Community College - Workforce Development Center,1500 W Raab Rd,Located at east entrance,Normal,IL,61761,,309-268-8000,E,,Public,Restricted to College hours,,,,,,1,,,Non-Networked,,GPS,40.535456,-89.013791,2022-10-11,42499,2023-02-14 15:54:11 UTC,LG,,,2011-12-29,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,WIND,false,,,,,
ELEC,Heartland Community College - Astroth Community Education Center,1500 W Raab Rd,Located at east entrance,Normal,IL,61761,,309-268-8000,E,,Public,College business hours,,,,,,1,,,Non-Networked,,GPS,40.534785,-89.011493,2022-10-11,42711,2023-02-14 15:54:11 UTC,LG,,,2011-12-29,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,WIND,false,,,,,
ELEC,Great Escape Restaurant,9540 W Irving Park Rd,Irving Park Rd & 25th. Located in restaurant parking lot.,Schiller Park,IL,60176,,847-671-7171,E,,Public,Restaurant business hours; customer use only,,,,,,3,,,Non-Networked,,200-9,41.955233,-87.865268,2021-10-12,43358,2022-02-10 19:42:29 UTC,P,,,2012-02-01,,,,,J1772,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,WIND,true,,,,,
ELEC,Mike Miller Mitsubishi,2007 W Pioneer Pkwy,,Peoria,IL,61615,,877-273-0662,E,,Public - Call ahead,Dealership business hours; Mitsubishi vehicle use only,,,,,,2,,,Non-Networked,,200-9,40.784164,-89.623657,2021-12-09,45803,2022-04-28 20:01:31 UTC,P,,,2012-02-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,
ELEC,Arlington Nissan,1100 W Dundee Rd,,Arlington Heights,IL,60004,,847-590-6100,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.139843,-87.996655,2022-03-07,46797,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
